image,quality
10_left,1
10_right,1
13_left,1
13_right,1
15_left,1
15_right,1
16_left,1
16_right,1
17_left,1
17_right,1
19_left,1
19_right,1
20_left,1
20_right,1
21_left,1
21_right,1
22_left,1
22_right,1
23_left,1
23_right,1
25_left,1
25_right,1
30_left,1
30_right,1
31_left,1
31_right,1
33_left,1
33_right,1
36_left,1
36_right,1
40_left,1
40_right,1
41_left,1
41_right,1
42_left,1
42_right,1
46_left,1
46_right,1
47_left,1
47_right,1
49_left,1
49_right,1
51_left,1
51_right,1
52_left,1
52_right,1
54_left,1
54_right,1
56_left,1
56_right,1
57_left,1
57_right,1
58_left,1
58_right,1
59_left,1
59_right,1
60_left,1
60_right,1
62_left,1
62_right,1
64_left,1
64_right,1
65_left,1
65_right,1
66_left,1
66_right,1
67_left,1
67_right,1
70_left,0
70_right,1
72_left,1
72_right,1
73_left,1
73_right,1
74_left,1
74_right,1
75_left,1
75_right,0
78_left,1
78_right,1
79_left,1
79_right,1
81_left,1
81_right,1
82_left,1
82_right,1
84_left,1
84_right,1
95_left,1
95_right,1
99_left,1
99_right,1
100_left,1
100_right,1
102_left,1
102_right,1
104_left,1
104_right,1
108_left,1
108_right,1
111_left,0
111_right,1
114_left,1
114_right,1
115_left,1
115_right,0
117_left,1
117_right,1
119_left,1
119_right,1
122_left,1
122_right,1
125_left,1
125_right,1
129_left,1
129_right,1
140_left,1
140_right,1
145_left,1
145_right,1
149_left,1
149_right,1
155_left,1
155_right,1
156_left,1
156_right,1
157_left,1
157_right,1
159_left,0
159_right,1
161_left,1
161_right,1
162_left,1
162_right,1
163_left,1
163_right,1
164_left,1
164_right,1
167_left,1
167_right,1
169_left,1
169_right,1
170_left,1
170_right,1
172_left,0
172_right,1
174_left,1
174_right,1
177_left,1
177_right,1
178_left,1
178_right,1
179_left,1
179_right,1
184_left,0
184_right,0
186_left,1
186_right,1
190_left,1
190_right,1
192_left,1
192_right,1
194_left,1
194_right,1
195_left,1
195_right,0
197_left,1
197_right,1
199_left,1
199_right,1
203_left,1
203_right,1
204_left,1
204_right,1
208_left,1
208_right,1
210_left,1
210_right,1
211_left,1
211_right,1
214_left,1
214_right,1
216_left,1
216_right,1
217_left,1
217_right,1
218_left,1
218_right,1
219_left,1
219_right,1
222_left,1
222_right,1
224_left,1
224_right,1
225_left,1
225_right,1
227_left,1
227_right,1
229_left,1
229_right,1
231_left,1
231_right,1
232_left,1
232_right,1
234_left,1
234_right,1
236_left,1
236_right,1
239_left,1
239_right,1
240_left,1
240_right,1
241_left,1
241_right,1
242_left,1
242_right,1
244_left,1
244_right,1
249_left,1
249_right,1
252_left,1
252_right,1
256_left,1
256_right,1
257_left,1
257_right,1
258_left,1
258_right,1
259_left,1
259_right,1
260_left,1
260_right,1
263_left,1
263_right,1
264_left,1
264_right,1
274_left,1
274_right,1
277_left,1
277_right,1
279_left,1
279_right,1
280_left,1
280_right,1
283_left,1
283_right,1
286_left,1
286_right,1
288_left,1
288_right,1
289_left,1
289_right,1
294_left,1
294_right,1
299_left,1
299_right,1
301_left,1
301_right,1
307_left,1
307_right,1
310_left,1
310_right,1
311_left,1
311_right,1
314_left,1
314_right,1
316_left,1
316_right,1
317_left,1
317_right,1
318_left,1
318_right,1
320_left,1
320_right,1
322_left,1
322_right,1
323_left,1
323_right,1
325_left,1
325_right,1
326_left,1
326_right,1
328_left,1
328_right,1
329_left,1
329_right,1
330_left,1
330_right,1
333_left,1
333_right,1
337_left,1
337_right,1
338_left,1
338_right,1
343_left,1
343_right,1
348_left,1
348_right,1
349_left,1
349_right,1
352_left,1
352_right,1
355_left,1
355_right,1
356_left,1
356_right,1
358_left,1
358_right,1
360_left,1
360_right,1
363_left,1
363_right,1
364_left,1
364_right,1
367_left,1
367_right,1
374_left,1
374_right,0
375_left,1
375_right,0
376_left,1
376_right,1
378_left,0
378_right,1
380_left,1
380_right,1
381_left,1
381_right,1
384_left,1
384_right,1
386_left,1
386_right,1
389_left,1
389_right,1
391_left,1
391_right,1
393_left,1
393_right,1
395_left,1
395_right,1
396_left,1
396_right,1
398_left,1
398_right,1
399_left,1
399_right,1
400_left,1
400_right,1
404_left,1
404_right,1
405_left,1
405_right,1
406_left,1
406_right,1
408_left,1
408_right,1
410_left,1
410_right,1
412_left,1
412_right,1
417_left,1
417_right,1
418_left,1
418_right,1
419_left,1
419_right,1
421_left,1
421_right,1
427_left,1
427_right,1
428_left,1
428_right,1
430_left,1
430_right,1
431_left,1
431_right,1
432_left,1
432_right,1
435_left,1
435_right,1
437_left,1
437_right,1
438_left,1
438_right,1
439_left,1
439_right,1
444_left,1
444_right,1
445_left,1
445_right,1
446_left,1
446_right,1
448_left,1
448_right,1
449_left,1
449_right,1
451_left,1
451_right,1
456_left,1
456_right,1
457_left,1
457_right,1
458_left,1
458_right,1
460_left,1
460_right,1
465_left,1
465_right,1
466_left,1
466_right,1
467_left,1
467_right,1
472_left,1
472_right,1
473_left,1
473_right,1
482_left,1
482_right,1
483_left,1
483_right,1
487_left,1
487_right,1
489_left,1
489_right,1
492_left,0
492_right,0
494_left,1
494_right,1
495_left,1
495_right,1
497_left,1
497_right,1
498_left,1
498_right,1
502_left,1
502_right,1
505_left,1
505_right,1
508_left,1
508_right,1
509_left,1
509_right,1
510_left,1
510_right,1
511_left,1
511_right,1
513_left,0
513_right,0
517_left,1
517_right,1
525_left,1
525_right,1
527_left,1
527_right,1
528_left,1
528_right,1
531_left,1
531_right,1
532_left,1
532_right,1
534_left,1
534_right,1
551_left,0
551_right,1
554_left,1
554_right,1
556_left,1
556_right,1
557_left,1
557_right,1
558_left,1
558_right,1
560_left,1
560_right,1
563_left,0
563_right,1
566_left,1
566_right,1
568_left,1
568_right,1
575_left,1
575_right,1
579_left,1
579_right,1
596_left,1
596_right,1
597_left,1
597_right,1
599_left,1
599_right,1
602_left,1
602_right,1
604_left,1
604_right,1
607_left,1
607_right,1
609_left,1
609_right,1
611_left,1
611_right,1
613_left,1
613_right,1
615_left,1
615_right,1
616_left,1
616_right,1
617_left,1
617_right,1
621_left,1
621_right,1
622_left,0
622_right,1
623_left,1
623_right,1
625_left,1
625_right,1
627_left,1
627_right,1
632_left,1
632_right,1
634_left,1
634_right,1
636_left,1
636_right,1
639_left,1
639_right,1
641_left,1
641_right,1
642_left,1
642_right,1
643_left,1
643_right,1
644_left,1
644_right,1
645_left,1
645_right,1
650_left,1
650_right,1
660_left,1
660_right,1
662_left,1
662_right,1
666_left,1
666_right,1
668_left,1
668_right,1
669_left,1
669_right,1
670_left,0
670_right,1
673_left,1
673_right,1
677_left,1
677_right,1
678_left,1
678_right,1
679_left,0
679_right,0
681_left,1
681_right,1
682_left,1
682_right,1
685_left,1
685_right,1
686_left,0
686_right,0
687_left,1
687_right,1
690_left,1
690_right,1
694_left,1
694_right,1
696_left,1
696_right,1
698_left,1
698_right,1
700_left,1
700_right,1
702_left,1
702_right,1
703_left,1
703_right,1
704_left,1
704_right,1
706_left,1
706_right,1
710_left,1
710_right,1
715_left,1
715_right,1
717_left,1
717_right,1
721_left,1
721_right,0
723_left,1
723_right,1
728_left,1
728_right,1
731_left,1
731_right,1
732_left,1
732_right,1
733_left,1
733_right,1
734_left,0
734_right,0
735_left,1
735_right,1
736_left,1
736_right,1
739_left,1
739_right,1
740_left,1
740_right,1
743_left,1
743_right,1
745_left,0
745_right,1
747_left,1
747_right,1
752_left,1
752_right,1
754_left,1
754_right,1
760_left,1
760_right,1
761_left,1
761_right,1
762_left,1
762_right,1
765_left,1
765_right,1
766_left,0
766_right,1
768_left,0
768_right,1
773_left,1
773_right,1
780_left,1
780_right,1
783_left,1
783_right,1
784_left,1
784_right,1
787_left,1
787_right,1
791_left,1
791_right,1
792_left,1
792_right,1
793_left,0
793_right,1
796_left,1
796_right,1
799_left,1
799_right,1
800_left,1
800_right,1
802_left,1
802_right,1
803_left,1
803_right,1
805_left,1
805_right,1
810_left,1
810_right,1
812_left,1
812_right,1
814_left,1
814_right,1
818_left,1
818_right,1
819_left,1
819_right,1
820_left,1
820_right,1
825_left,1
825_right,1
