image,quality
10001_left.jpeg,1
10001_right.jpeg,1
10006_left.jpeg,1
10006_right.jpeg,1
10033_left.jpeg,1
10033_right.jpeg,1
10034_left.jpeg,1
10034_right.jpeg,1
10038_left.jpeg,1
10038_right.jpeg,1
10039_left.jpeg,1
10039_right.jpeg,1
10040_left.jpeg,1
10040_right.jpeg,1
10054_left.jpeg,1
10054_right.jpeg,1
10062_left.jpeg,1
10062_right.jpeg,1
10063_left.jpeg,1
10063_right.jpeg,1
1006_left.jpeg,1
1006_right.jpeg,0
10070_left.jpeg,1
10070_right.jpeg,1
10075_left.jpeg,1
10075_right.jpeg,1
10084_left.jpeg,1
10084_right.jpeg,1
10096_left.jpeg,1
10096_right.jpeg,1
10097_left.jpeg,1
10097_right.jpeg,1
10102_left.jpeg,1
10102_right.jpeg,1
10108_left.jpeg,1
10108_right.jpeg,1
10110_left.jpeg,1
10110_right.jpeg,0
10118_left.jpeg,1
10118_right.jpeg,1
10132_left.jpeg,1
10132_right.jpeg,1
10143_left.jpeg,1
10143_right.jpeg,1
1015_left.jpeg,1
1015_right.jpeg,1
10165_left.jpeg,1
10165_right.jpeg,1
10174_left.jpeg,1
10174_right.jpeg,1
10205_left.jpeg,1
10205_right.jpeg,1
10213_left.jpeg,1
10213_right.jpeg,1
10225_left.jpeg,1
10225_right.jpeg,1
10229_left.jpeg,1
10229_right.jpeg,1
10235_left.jpeg,1
10235_right.jpeg,1
10238_left.jpeg,1
10238_right.jpeg,1
10253_left.jpeg,1
10253_right.jpeg,1
1025_left.jpeg,1
1025_right.jpeg,1
10275_left.jpeg,1
10275_right.jpeg,1
10282_left.jpeg,1
10282_right.jpeg,1
10285_left.jpeg,1
10285_right.jpeg,1
10287_left.jpeg,1
10287_right.jpeg,1
10296_left.jpeg,1
10296_right.jpeg,1
10298_left.jpeg,1
10298_right.jpeg,1
10299_left.jpeg,1
10299_right.jpeg,1
10315_left.jpeg,1
10315_right.jpeg,1
10323_left.jpeg,1
10323_right.jpeg,1
10327_left.jpeg,1
10327_right.jpeg,1
10329_left.jpeg,1
10329_right.jpeg,1
10331_left.jpeg,1
10331_right.jpeg,1
10335_left.jpeg,1
10335_right.jpeg,1
10346_left.jpeg,1
10346_right.jpeg,1
10348_left.jpeg,1
10348_right.jpeg,1
10351_left.jpeg,1
10351_right.jpeg,1
10360_left.jpeg,1
10360_right.jpeg,1
10366_left.jpeg,1
10366_right.jpeg,1
10370_left.jpeg,1
10370_right.jpeg,1
10375_left.jpeg,1
10375_right.jpeg,1
10376_left.jpeg,1
10376_right.jpeg,1
10390_left.jpeg,1
10390_right.jpeg,1
10392_left.jpeg,1
10392_right.jpeg,1
10393_left.jpeg,0
10393_right.jpeg,1
1039_left.jpeg,1
1039_right.jpeg,1
10410_left.jpeg,1
10410_right.jpeg,1
10420_left.jpeg,1
10420_right.jpeg,1
10433_left.jpeg,1
10433_right.jpeg,1
10442_left.jpeg,1
10442_right.jpeg,1
10446_left.jpeg,1
10446_right.jpeg,1
10459_left.jpeg,1
10459_right.jpeg,1
10461_left.jpeg,1
10461_right.jpeg,1
10463_left.jpeg,1
10463_right.jpeg,1
10465_left.jpeg,1
10465_right.jpeg,1
10472_left.jpeg,1
10472_right.jpeg,1
10473_left.jpeg,1
10473_right.jpeg,1
10474_left.jpeg,1
10474_right.jpeg,1
10476_left.jpeg,1
10476_right.jpeg,1
10482_left.jpeg,1
10482_right.jpeg,1
10507_left.jpeg,1
10507_right.jpeg,1
10508_left.jpeg,1
10508_right.jpeg,1
10512_left.jpeg,1
10512_right.jpeg,1
10517_left.jpeg,1
10517_right.jpeg,1
10519_left.jpeg,1
10519_right.jpeg,1
10524_left.jpeg,1
10524_right.jpeg,1
10543_left.jpeg,1
10543_right.jpeg,1
10561_left.jpeg,1
10561_right.jpeg,1
10564_left.jpeg,1
10564_right.jpeg,1
10574_left.jpeg,1
10574_right.jpeg,1
10575_left.jpeg,1
10575_right.jpeg,1
10580_left.jpeg,1
10580_right.jpeg,1
10582_left.jpeg,1
10582_right.jpeg,1
10589_left.jpeg,1
10589_right.jpeg,1
10590_left.jpeg,1
10590_right.jpeg,1
105_left.jpeg,1
105_right.jpeg,1
10602_left.jpeg,1
10602_right.jpeg,1
10604_left.jpeg,1
10604_right.jpeg,1
10613_left.jpeg,1
10613_right.jpeg,1
1062_left.jpeg,1
1062_right.jpeg,1
10638_left.jpeg,1
10638_right.jpeg,1
1063_left.jpeg,1
1063_right.jpeg,1
1064_left.jpeg,1
1064_right.jpeg,1
10652_left.jpeg,1
10652_right.jpeg,1
10654_left.jpeg,0
10654_right.jpeg,1
10656_left.jpeg,1
10656_right.jpeg,1
10659_left.jpeg,1
10659_right.jpeg,1
10662_left.jpeg,1
10662_right.jpeg,1
10683_left.jpeg,1
10683_right.jpeg,1
1068_left.jpeg,1
1068_right.jpeg,1
10693_left.jpeg,1
10693_right.jpeg,1
106_left.jpeg,1
106_right.jpeg,1
10714_left.jpeg,1
10714_right.jpeg,1
10715_left.jpeg,1
10715_right.jpeg,1
10716_left.jpeg,1
10716_right.jpeg,1
10717_left.jpeg,1
10717_right.jpeg,1
10724_left.jpeg,1
10724_right.jpeg,1
1072_left.jpeg,1
1072_right.jpeg,1
10735_left.jpeg,1
10735_right.jpeg,1
10741_left.jpeg,1
10741_right.jpeg,1
10760_left.jpeg,1
10760_right.jpeg,1
10774_left.jpeg,1
10774_right.jpeg,1
10783_left.jpeg,1
10783_right.jpeg,1
10788_left.jpeg,1
10788_right.jpeg,1
107_left.jpeg,1
107_right.jpeg,1
10802_left.jpeg,1
10802_right.jpeg,1
10803_left.jpeg,1
10803_right.jpeg,1
10813_left.jpeg,1
10813_right.jpeg,1
10820_left.jpeg,1
10820_right.jpeg,1
10825_left.jpeg,1
10825_right.jpeg,1
10837_left.jpeg,1
10837_right.jpeg,1
10843_left.jpeg,1
10843_right.jpeg,1
10857_left.jpeg,1
10857_right.jpeg,1
10858_left.jpeg,1
10858_right.jpeg,1
10881_left.jpeg,1
10881_right.jpeg,1
10887_left.jpeg,1
10887_right.jpeg,1
10890_left.jpeg,1
10890_right.jpeg,1
10892_left.jpeg,1
10892_right.jpeg,1
10896_left.jpeg,1
10896_right.jpeg,1
10899_left.jpeg,1
10899_right.jpeg,1
10910_left.jpeg,1
10910_right.jpeg,1
10944_left.jpeg,1
10944_right.jpeg,1
10949_left.jpeg,1
10949_right.jpeg,1
10953_left.jpeg,1
10953_right.jpeg,1
10973_left.jpeg,1
10973_right.jpeg,1
10978_left.jpeg,1
10978_right.jpeg,1
10984_left.jpeg,1
10984_right.jpeg,1
10991_left.jpeg,1
10991_right.jpeg,1
10993_left.jpeg,1
10993_right.jpeg,1
109_left.jpeg,1
109_right.jpeg,1
11000_left.jpeg,1
11000_right.jpeg,1
11001_left.jpeg,1
11001_right.jpeg,1
11006_left.jpeg,1
11006_right.jpeg,1
11020_left.jpeg,1
11020_right.jpeg,1
11024_left.jpeg,1
11024_right.jpeg,1
11039_left.jpeg,1
11039_right.jpeg,1
1103_left.jpeg,1
1103_right.jpeg,0
11051_left.jpeg,1
11051_right.jpeg,1
11062_left.jpeg,1
11062_right.jpeg,1
1106_left.jpeg,1
1106_right.jpeg,1
11071_left.jpeg,1
11071_right.jpeg,1
11086_left.jpeg,1
11086_right.jpeg,1
11090_left.jpeg,1
11090_right.jpeg,1
11108_left.jpeg,1
